timestamp,code,name,area,current,capacity,occupancy_pct
2025-09-04T18:33:39.705793+08:00,XYSC,信義運動中心,游泳池,40,165,24.24
2025-09-04T18:33:39.705793+08:00,XYSC,信義運動中心,健身房,41,65,63.08
2025-09-04T18:33:39.705793+08:00,ZSSC,中山運動中心,游泳池,47,150,31.33
2025-09-04T18:33:39.705793+08:00,ZSSC,中山運動中心,健身房,38,50,76.00
2025-09-04T18:44:20.303119+08:00,BTSC,北投運動中心,游泳池,0,200,0.00
2025-09-04T18:44:20.303119+08:00,BTSC,北投運動中心,健身房,28,60,46.67
2025-09-04T18:44:20.303119+08:00,DASC,大安運動中心,游泳池,115,250,46.00
2025-09-04T18:44:20.303119+08:00,DASC,大安運動中心,健身房,70,80,87.50
2025-09-04T18:44:20.303119+08:00,DTSC,大同運動中心,游泳池,60,250,24.00
2025-09-04T18:44:20.303119+08:00,DTSC,大同運動中心,健身房,71,90,78.89
2025-09-04T18:44:20.303119+08:00,JJSC,中正運動中心,游泳池,9,200,4.50
2025-09-04T18:44:20.303119+08:00,JJSC,中正運動中心,健身房,89,120,74.17
2025-09-04T18:44:20.303119+08:00,NHSC,內湖運動中心,游泳池,67,200,33.50
2025-09-04T18:44:20.303119+08:00,NHSC,內湖運動中心,健身房,106,130,81.54
2025-09-04T18:44:20.303119+08:00,SLSC,士林運動中心,游泳池,79,200,39.50
2025-09-04T18:44:20.303119+08:00,SLSC,士林運動中心,健身房,47,100,47.00
2025-09-04T18:44:20.303119+08:00,SSSC,松山運動中心,游泳池,85,400,21.25
2025-09-04T18:44:20.303119+08:00,SSSC,松山運動中心,健身房,86,100,86.00
2025-09-04T18:44:20.303119+08:00,WHSC,萬華運動中心,游泳池,32,100,32.00
2025-09-04T18:44:20.303119+08:00,WHSC,萬華運動中心,健身房,72,150,48.00
2025-09-04T18:44:20.303119+08:00,WSSC,文山運動中心,游泳池,74,200,37.00
2025-09-04T18:44:20.303119+08:00,WSSC,文山運動中心,健身房,47,110,42.73
2025-09-04T18:44:20.303119+08:00,XYSC,信義運動中心,游泳池,37,165,22.42
2025-09-04T18:44:20.303119+08:00,XYSC,信義運動中心,健身房,49,65,75.38
2025-09-04T18:44:20.303119+08:00,ZSSC,中山運動中心,游泳池,56,150,37.33
2025-09-04T18:44:20.303119+08:00,ZSSC,中山運動中心,健身房,42,50,84.00
2025-09-04T18:50:50.724078+08:00,BTSC,北投運動中心,游泳池,0,200,0.00
2025-09-04T18:50:50.724078+08:00,BTSC,北投運動中心,健身房,28,60,46.67
2025-09-04T18:50:50.724078+08:00,DASC,大安運動中心,游泳池,115,250,46.00
2025-09-04T18:50:50.724078+08:00,DASC,大安運動中心,健身房,67,80,83.75
2025-09-04T18:50:50.724078+08:00,DTSC,大同運動中心,游泳池,63,250,25.20
2025-09-04T18:50:50.724078+08:00,DTSC,大同運動中心,健身房,73,90,81.11
2025-09-04T18:50:50.724078+08:00,JJSC,中正運動中心,游泳池,10,200,5.00
2025-09-04T18:50:50.724078+08:00,JJSC,中正運動中心,健身房,95,120,79.17
2025-09-04T18:50:50.724078+08:00,NHSC,內湖運動中心,游泳池,64,200,32.00
2025-09-04T18:50:50.724078+08:00,NHSC,內湖運動中心,健身房,109,130,83.85
2025-09-04T18:50:50.724078+08:00,SLSC,士林運動中心,游泳池,79,200,39.50
2025-09-04T18:50:50.724078+08:00,SLSC,士林運動中心,健身房,49,100,49.00
2025-09-04T18:50:50.724078+08:00,SSSC,松山運動中心,游泳池,97,400,24.25
2025-09-04T18:50:50.724078+08:00,SSSC,松山運動中心,健身房,91,100,91.00
2025-09-04T18:50:50.724078+08:00,WHSC,萬華運動中心,游泳池,33,100,33.00
2025-09-04T18:50:50.724078+08:00,WHSC,萬華運動中心,健身房,68,150,45.33
2025-09-04T18:50:50.724078+08:00,WSSC,文山運動中心,游泳池,76,200,38.00
2025-09-04T18:50:50.724078+08:00,WSSC,文山運動中心,健身房,46,110,41.82
2025-09-04T18:50:50.724078+08:00,XYSC,信義運動中心,游泳池,39,165,23.64
2025-09-04T18:50:50.724078+08:00,XYSC,信義運動中心,健身房,51,65,78.46
2025-09-04T18:50:50.724078+08:00,ZSSC,中山運動中心,游泳池,60,150,40.00
2025-09-04T18:50:50.724078+08:00,ZSSC,中山運動中心,健身房,42,50,84.00
2025-09-04T18:57:51.482352+08:00,BTSC,北投運動中心,游泳池,4,200,2.00
2025-09-04T18:57:51.482352+08:00,BTSC,北投運動中心,健身房,33,60,55.00
2025-09-04T18:57:51.482352+08:00,DASC,大安運動中心,游泳池,112,250,44.80
2025-09-04T18:57:51.482352+08:00,DASC,大安運動中心,健身房,66,80,82.50
2025-09-04T18:57:51.482352+08:00,DTSC,大同運動中心,游泳池,66,250,26.40
2025-09-04T18:57:51.482352+08:00,DTSC,大同運動中心,健身房,75,90,83.33
2025-09-04T18:57:51.482352+08:00,JJSC,中正運動中心,游泳池,3,200,1.50
2025-09-04T18:57:51.482352+08:00,JJSC,中正運動中心,健身房,87,120,72.50
2025-09-04T18:57:51.482352+08:00,NHSC,內湖運動中心,游泳池,65,200,32.50
2025-09-04T18:57:51.482352+08:00,NHSC,內湖運動中心,健身房,118,130,90.77
2025-09-04T18:57:51.482352+08:00,SLSC,士林運動中心,游泳池,67,200,33.50
2025-09-04T18:57:51.482352+08:00,SLSC,士林運動中心,健身房,50,100,50.00
2025-09-04T18:57:51.482352+08:00,SSSC,松山運動中心,游泳池,112,400,28.00
2025-09-04T18:57:51.482352+08:00,SSSC,松山運動中心,健身房,86,100,86.00
2025-09-04T18:57:51.482352+08:00,WHSC,萬華運動中心,游泳池,33,100,33.00
2025-09-04T18:57:51.482352+08:00,WHSC,萬華運動中心,健身房,66,150,44.00
2025-09-04T18:57:51.482352+08:00,WSSC,文山運動中心,游泳池,77,200,38.50
2025-09-04T18:57:51.482352+08:00,WSSC,文山運動中心,健身房,41,110,37.27
2025-09-04T18:57:51.482352+08:00,XYSC,信義運動中心,游泳池,43,165,26.06
2025-09-04T18:57:51.482352+08:00,XYSC,信義運動中心,健身房,55,65,84.62
2025-09-04T18:57:51.482352+08:00,ZSSC,中山運動中心,游泳池,69,150,46.00
2025-09-04T18:57:51.482352+08:00,ZSSC,中山運動中心,健身房,47,50,94.00
2025-09-04T19:13:19.439914+08:00,BTSC,北投運動中心,游泳池,9,200,4.50
2025-09-04T19:13:19.439914+08:00,BTSC,北投運動中心,健身房,39,60,65.00
2025-09-04T19:13:19.439914+08:00,DASC,大安運動中心,游泳池,108,250,43.20
2025-09-04T19:13:19.439914+08:00,DASC,大安運動中心,健身房,67,80,83.75
2025-09-04T19:13:19.439914+08:00,DTSC,大同運動中心,游泳池,64,250,25.60
2025-09-04T19:13:19.439914+08:00,DTSC,大同運動中心,健身房,74,90,82.22
2025-09-04T19:13:19.439914+08:00,JJSC,中正運動中心,游泳池,1,200,0.50
2025-09-04T19:13:19.439914+08:00,JJSC,中正運動中心,健身房,83,120,69.17
2025-09-04T19:13:19.439914+08:00,NHSC,內湖運動中心,游泳池,67,200,33.50
2025-09-04T19:13:19.439914+08:00,NHSC,內湖運動中心,健身房,116,130,89.23
2025-09-04T19:13:19.439914+08:00,SLSC,士林運動中心,游泳池,62,200,31.00
2025-09-04T19:13:19.439914+08:00,SLSC,士林運動中心,健身房,55,100,55.00
2025-09-04T19:13:19.439914+08:00,SSSC,松山運動中心,游泳池,129,400,32.25
2025-09-04T19:13:19.439914+08:00,SSSC,松山運動中心,健身房,92,100,92.00
2025-09-04T19:13:19.439914+08:00,WHSC,萬華運動中心,游泳池,37,100,37.00
2025-09-04T19:13:19.439914+08:00,WHSC,萬華運動中心,健身房,74,150,49.33
2025-09-04T19:13:19.439914+08:00,WSSC,文山運動中心,游泳池,78,200,39.00
2025-09-04T19:13:19.439914+08:00,WSSC,文山運動中心,健身房,41,110,37.27
2025-09-04T19:13:19.439914+08:00,XYSC,信義運動中心,游泳池,36,165,21.82
2025-09-04T19:13:19.439914+08:00,XYSC,信義運動中心,健身房,59,65,90.77
2025-09-04T19:13:19.439914+08:00,ZSSC,中山運動中心,游泳池,56,150,37.33
2025-09-04T19:13:19.439914+08:00,ZSSC,中山運動中心,健身房,48,50,96.00
2025-09-04T19:27:20.412860+08:00,BTSC,北投運動中心,游泳池,8,200,4.00
2025-09-04T19:27:20.412860+08:00,BTSC,北投運動中心,健身房,32,60,53.33
2025-09-04T19:27:20.412860+08:00,DASC,大安運動中心,游泳池,88,250,35.20
2025-09-04T19:27:20.412860+08:00,DASC,大安運動中心,健身房,54,80,67.50
2025-09-04T19:27:20.412860+08:00,DTSC,大同運動中心,游泳池,66,250,26.40
2025-09-04T19:27:20.412860+08:00,DTSC,大同運動中心,健身房,61,90,67.78
2025-09-04T19:27:20.412860+08:00,JJSC,中正運動中心,游泳池,4,200,2.00
2025-09-04T19:27:20.412860+08:00,JJSC,中正運動中心,健身房,81,120,67.50
2025-09-04T19:27:20.412860+08:00,NHSC,內湖運動中心,游泳池,76,200,38.00
2025-09-04T19:27:20.412860+08:00,NHSC,內湖運動中心,健身房,117,130,90.00
2025-09-04T19:27:20.412860+08:00,SLSC,士林運動中心,游泳池,67,200,33.50
2025-09-04T19:27:20.412860+08:00,SLSC,士林運動中心,健身房,62,100,62.00
2025-09-04T19:27:20.412860+08:00,SSSC,松山運動中心,游泳池,131,400,32.75
2025-09-04T19:27:20.412860+08:00,SSSC,松山運動中心,健身房,91,100,91.00
2025-09-04T19:27:20.412860+08:00,WHSC,萬華運動中心,游泳池,40,100,40.00
2025-09-04T19:27:20.412860+08:00,WHSC,萬華運動中心,健身房,78,150,52.00
2025-09-04T19:27:20.412860+08:00,WSSC,文山運動中心,游泳池,71,200,35.50
2025-09-04T19:27:20.412860+08:00,WSSC,文山運動中心,健身房,40,110,36.36
2025-09-04T19:27:20.412860+08:00,XYSC,信義運動中心,游泳池,32,165,19.39
2025-09-04T19:27:20.412860+08:00,XYSC,信義運動中心,健身房,56,65,86.15
2025-09-04T19:27:20.412860+08:00,ZSSC,中山運動中心,游泳池,42,150,28.00
2025-09-04T19:27:20.412860+08:00,ZSSC,中山運動中心,健身房,47,50,94.00
